"miRNA","logFC","AveExpr","t","P.Value","adj.P.Val","B","DE_call"
"hsa-miR-26b-5p|0",-0.533569612761765,7.67452107246513,-0.96586709323914,0.336384743919176,0.393091731894537,-5.86078359131968,"NS"
"hsa-miR-26a-5p|0",-0.52369394087474,6.66738619925341,-0.965325963477471,0.336654311435764,0.393091731894537,-5.86128951352364,"NS"
"hsa-let-7b-5p|0",-0.377691891060067,8.59872277141522,-0.962579659579676,0.338024574325196,0.393091731894537,-5.86385284480102,"NS"
"hsa-miR-22-3p|0",-0.453947263607079,5.16117823924851,-0.957279179597892,0.340679500975265,0.393091731894537,-5.86877991118523,"NS"
"hsa-miR-4454+hsa-miR-7975|0",-0.453581779497421,10.2935035400853,-0.853701756770464,0.395261569383194,0.449160874299084,-5.95968998318436,"NS"
"hsa-miR-16-5p|0",-0.435060784296011,9.82994009371043,-0.815374080619533,0.416749424964523,0.466510550333421,-5.99073327211479,"NS"
"hsa-miR-181a-5p|0",-0.379564991288966,8.43645528392631,-0.803446132074214,0.423576763875169,0.467180254274084,-6.00010726293481,"NS"
"hsa-miR-363-3p|0",0.285681152293554,5.65063529798842,0.792282981410513,0.430026114169126,0.467419689314268,-6.00875667930204,"NS"
"hsa-miR-342-3p|0",-0.271026649374191,8.9306179016655,-0.517630570511714,0.605831761080877,0.6467795681867,-6.18377720555555,"NS"
"hsa-miR-4443|0",-0.197606562916399,6.11903268541904,-0.508372811285893,0.61228465788341,0.6467795681867,-6.1884065777955,"NS"
"hsa-miR-29a-3p|0",-0.230713415898072,7.96307056865332,-0.423091442576557,0.673115185650204,0.701161651718963,-6.22713964422796,"NS"
"hsa-miR-451a|0",-0.176372626052592,13.3269180401818,-0.306643891152337,0.759736680815759,0.780551384399753,-6.26860794710449,"NS"
"hsa-miR-150-5p|0",-0.0875453044861439,13.5027365939707,-0.167490375564256,0.867314326829587,0.879034790705663,-6.30082945765562,"NS"
"hsa-miR-4516|0",-0.068091774079985,6.02176146645329,-0.1224909177415,0.902750154687074,0.902750154687074,-6.30720475428194,"NS"
