"mature_mirna_id","n_targets","targets"
"hsa-miR-130a-3p",6,"ADIPOR1, BNIP3L, EPB41, MS4A1, OSBP2, SLC25A39"
"hsa-miR-126-3p",3,"ACSL6, LTB, RHCE"
